applicant_A,applicant_A_abr,A,applicant_B,applicant_B_abr,B,applicant_C,applicant_C_abr,C,applicant_D,applicant_D_abr,D,applicant_E,applicant_E_abr,E,applicant_F,applicant_F_abr,F,applicant_G,applicant_G_abr,G,applicant_H,applicant_H_abr,H
BASF AKTIENGESELLSCHAFT,BASF,318,ROBERT BOSCH GMBH,Robert Bosch,632,BASF AKTIENGESELLSCHAFT,BASF,636,BSH BOSCH UND SIEMENS HAUSGER?TE GMBH,BSH,91,"WEATHERFORD/LAMB, INC.",Weatherford-Lamb,91,ROBERT BOSCH GMBH,Robert Bosch,778,SIEMENS AKTIENGESELLSCHAFT,Siemens,308,SIEMENS AKTIENGESELLSCHAFT,Siemens,821
THE PROCTER&GAMBLE COMPANY,P&G,283,SIEMENS AKTIENGESELLSCHAFT,"
Siemens AG",182,BAYER AKTIENGESELLSCHAFT,Bayer,516,"METSO PAPER, INC.",Metso,41,DORMA GMBH + CO. KG,Dorma,45,SIEMENS AKTIENGESELLSCHAFT,Siemens,182,ROBERT BOSCH GMBH,Robert Bosch,285,TELEFONAKTIEBOLAGET LM ERICSSON (publ),Ericsson,511
BAYER CROPSCIENCE AG,Bayer,213,SILVERBROOK RESEARCH PTY LTD,"
Silverbrook",181,MERCK PATENT GMBH,"
Merck",468,"KIMBERLY-CLARK WORLDWIDE, INC.","
Kimberly-Clark",30,BAKER HUGHES INCORPORATED,Baker Hughes,43,"WOBBEN, Aloys",Aloys Wobben,45,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",Panasonic,139,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",Panasonic,426
SCA HYGIENE PRODUCTS AB,SCA,163,BASF AKTIENGESELLSCHAFT,BASF,143,F. HOFFMANN-LA ROCHE AG,Roche,305,LG ELECTRONICS INC.,LG,28,"HALLIBURTON ENERGY SERVICES, INC.","
Halliburton",41,KABUSHIKI KAISHA KOMATSU SEISAKUSHO,Komatsu,36,3M INNOVATIVE PROPERTIES COMPANY,3M,55,ROBERT BOSCH GMBH,Robert Bosch,413
SOCIETE DES PRODUITS NESTLE S.A.,Nestlé,133,FANUC LTD,"
FANUC",135,HENKEL KOMMANDITGESELLSCHAFT AUF AKTIEN,Henkel,291,TEXTILMA AG,Textilma,22,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.,SHELL,34,CATERPILLAR INC.,Caterpillar,22,FRAUNHOFER-GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,FhG,39,FRAUNHOFER-GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG E.V.,FhG,42
"KIMBERLY-CLARK WORLDWIDE, INC.","
Kimberly-Clark",119,KOENIG & BAUER AKTIENGESELLSCHAFT,Koenig & Bauer,87,ASTRAZENECA AB,"
AstraZeneca",246,THE PROCTER & GAMBLE COMPANY,P&G,20,SCHLUMBERGER CANADA LIMITED,"
Schlumberger",24,TECHNIP FRANCE,Technip,18,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,"
CSIRO",34,SAINT-GOBAIN GLASS FRANCE,Saint-Gobain,37
COLGATE-PALMOLIVE COMPANY,Colgate,119,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.,SHELL,86,NOVARTIS AG,Novartis,222,LENZING AKTIENGESELLSCHAFT,Lenzing,20,SANDVIK TAMROCK OY,Sandvik,24,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.,SHELL,15,CHEVRON U.S.A. INC.,Chevron,29,3M INNOVATIVE PROPERTIES COMPANY,3M,34
GLAXO GROUP LIMITED,Glaxo,114,HENKEL KOMMANDITGESELLSCHAFT AUF AKTIEN,Henkel,85,GLAXO GROUP LIMITED,Glaxo Group,211,HENKEL KOMMANDITGESELLSCHAFT AUF AKTIEN,Henkel,16,ROCKWOOL INTERNATIONAL A/S,Rockwool,21,IDEAL-STANDARD GMBH,Ideal-Standard,15,TELEFONAKTIEBOLAGET LM ERICSSON (publ),Ericsson,28,GENERAL ELECTRIC COMPANY,GE,31
HENKEL KOMMANDITGESELLSCHAFT AUF AKTIEN,Henkel,100,THE PROCTER & GAMBLE COMPANY,P&G,78,JANSSEN PHARMACEUTICA N.V.,Janssen,154,"SHIMA SEIKI MFG., LTD.",Shima Seiki,14,HUF H LSBECK & F RST GMBH & CO. KG,HUF,19,"HITACHI CONSTRUCTION MACHINERY CO., LTD.",Hitachi,13,GENERAL ELECTRIC COMPANY,GE,23,"WOBBEN, Aloys",Aloys Wobben,20
ASTRAZENECA AB,"
AstraZeneca",91,3M INNOVATIVE PROPERTIES COMPANY,3M,77,THE PROCTER & GAMBLE COMPANY,P&G,146,AKZO NOBEL N.V.,AkzoNobel,12,V. KANN RASMUSSEN INDUSTRI A/S,V. Kann Rasmussen,18,3M INNOVATIVE PROPERTIES COMPANY,3M,11,ARISTOCRAT TECHNOLOGIES AUSTRALIA PTY LTD,Aristocrat,22,RITTAL-WERK RUDOLF LOH GMBH & CO. KG,Rittal,18
MERCK PATENT GMBH,"
Merck",87,BAYER AKTIENGESELLSCHAFT,Bayer,71,SYNGENTA PARTICIPATIONS AG,"
Syngenta",143,MASCHINENFABRIK RIETER AG,Rieter,12,KABUSHIKI KAISHA KOMATSU SEISAKUSHO,Komatsu,17,VALLOUREC MANNESMANN OIL & GAS FRANCE,Vallourec,10,THE UNIVERSITY OF SYDNEY,USYD,20,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,"
CSIRO",15
UNILEVER PLC,Unilever,86,ZAHNRADFABRIK FRIEDRICHSHAFEN AG,ZF Group,66,AVENTIS PHARMA DEUTSCHLAND GMBH,Aventis,137,SCA HYGIENE PRODUCTS AB,SCA,11,VKR HOLDING A/S,VKR Holding A/S,16,PHOENIX AG,Phoenix AG,10,"SUNDSTRAND DATA CONTROL, INC.",Sundstrand,17,JAPAN SCIENCE AND TECHNOLOGY CORPORATION,JST,13
SYNGENTA PARTICIPATIONS AG,"
Syngenta",80,SCA HYGIENE PRODUCTS AB,SCA,56,CIBA SPECIALTY CHEMICALS HOLDING INC.,Ciba,133,J.M. VOITH GMBH,VOITH,11,SCHUCO INTERNATIONAL KG,Schüco,13,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",Panasonic,10,JAPAN SCIENCE AND TECHNOLOGY CORPORATION,JST,16,MANNESMANN AG,Mannesmann,11
