word_A,A,word_B,B,word_C,C,word_D,D,word_E,E,word_F,F,word_G,G,word_H,H
invention,4055,premalignant,4986,slags,3000,least,2998,wellbore,2479,said,2492,adm,1997,inverter,997
relates,2646,national,4921,laterite,2989,invention,2994,drilling,2467,least,2480,securitybox,1977,probability,995
comprising,2103,aramide,4912,heteroarylalkyl,2970,one,2985,anchoring,2463,one,2425,decision,1975,correlation,993
present,1948,rheumatic,4901,ferrous,2963,material,2976,barrier,2429,invention,2395,proponent,1973,division,991
one,1926,hcg,4856,sieve,2961,comprising,2954,securing,2422,first,2361,banker,1943,ip,987
said,1792,aspherical,4798,secreted,2941,method,2947,groove,2416,second,2332,views,1937,stereoscopic,982
use,1630,imazamox,4785,c36,2927,relates,2938,floor,2409,gas,2329,metric,1922,playback,982
compounds,1568,htam,4763,ti,2913,said,2938,retaining,2399,device,2325,microsystem,1904,filming,980
least,1528,terminate,4681,sulfuric,2904,first,2895,impact,2388,comprising,2311,served,1889,mast,970
thereof,1309,adjuvanting,4674,polymerizing,2903,process,2807,female,2385,comprises,2296,lowerspeed,1850,inputs,970
treatment,1262,sor9,4662,moles,2882,means,2795,fastening,2377,valve,2273,vote,1849,multichannel,964
wherein,1249,defoaming,4596,fibroblast,2824,present,2784,male,2367,relates,2250,price,1827,expander,959
formula,1241,cpg,4583,dispersant,2819,surface,2772,earth,2359,means,2244,pressuretight,1819,terminating,958
compositions,1181,disperses,4554,sizing,2783,second,2762,plug,2359,chamber,2242,repetitive,1816,wavefront,942
method,1112,cocatalyst,4545,quinazoline,2773,comprises,2755,lever,2349,system,2193,mined,1807,exists,942
also,1042,ch2s,4541,nc,2767,composition,2749,sliding,2343,surface,2188,isoelectric,1780,ru,940
composition,993,vacant,4493,mercury,2758,wherein,2718,reinforcing,2341,pressure,2187,quantification,1759,junction,933
pharmaceutical,912,psychotherapeutic,4478,heterocycles,2738,weight,2710,fluids,2333,method,2159,bump,1729,sends,933
methods,865,boneengagement,4439,c23,2728,use,2698,expanded,2321,fluid,2143,haemochromatosis,1727,neighboring,930
comprises,864,nifedipine,4283,viscosifier,2704,layer,2693,transverse,2315,element,2136,alteration,1719,characters,930
